Date,CPI,IndexValue_NDXT,NetChange_NDXT,High_NDXT,Low_NDXT,Close/Last_GOOGL,Volume_GOOGL,Open_GOOGL,High_GOOGL,Low_GOOGL,Close/Last_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL
2015-03-16,236.599,2384.35195898658,34.02456795596,2385.5895703196,2362.56369679769,28.082,36818620.0,30.97,28.1875,27.566,31.2375,143265200.0,30.97,31.2375,30.7175
2015-03-20,236.599,2431.81382164863,24.08555611262,2438.29006300982,2419.28126670992,28.2475,44255280.0,32.0625,28.355,28.224,32.1,274064720.0,32.0625,32.1,31.29
2015-03-24,236.599,2401.91985658201,-16.42371250917,2422.96388750682,2401.82657878861,28.877,79040060.0,31.8075,29.094,28.4045,32.01,130988800.0,31.8075,32.01,31.64
2015-03-28,236.599,2372.31608389881,-13.03390052121,2385.9982277252548,2363.8609824043297,28.17575,58884350.0,31.50625,28.509500000000003,27.853,31.645,146420680.0,31.50625,31.645,31.2075
2015-04-01,236.599,2342.71231121561,-9.64408853325,2349.03256794369,2325.89538602005,27.4745,38728640.0,31.205,27.925,27.3015,31.28,161852560.0,31.205,31.28,30.775
2015-04-05,236.74257142857144,2368.08355052371,5.4182929982250005,2371.87420110302,2345.01914837501,27.43775,35542170.0,31.33375,27.69675,27.199550000000002,31.4625,145415000.0,31.33375,31.4625,30.97
2015-04-09,236.8861428571429,2393.45478983181,20.4806745297,2394.71583426235,2364.14291072997,27.401,32355700.0,31.4625,27.4685,27.0976,31.645,128977440.0,31.4625,31.645,31.165
2015-04-13,237.001,2388.1180510145,-17.06734581646,2413.43434497775,2387.1193973905,27.432,29325540.0,32.0925,27.6635,27.315,32.1425,144994480.0,32.0925,32.1425,31.6525
2015-04-17,237.23071428571427,2366.24887251576,-32.13053398067,2379.41360192267,2359.18596127649,26.637,49175400.0,31.3875,26.99,26.45,31.535,205925240.0,31.3875,31.535,31.115
2015-04-21,237.34557142857145,2407.74105477038,13.28031166466,2425.02103262482,2402.14427838421,27.1462,29121480.0,32.025,27.3887,27.1105,32.05,129365520.0,32.025,32.05,31.6675
2015-04-25,237.51785714285717,2403.29302289104,-1.0260375166750002,2416.612158452665,2391.66213941029,27.60785,31369660.0,32.2825,27.84035,27.53025,32.473749999999995,190809240.0,32.2825,32.473749999999995,31.871250000000003
2015-04-29,237.6901428571429,2398.8449910117,-15.33238669801,2408.20328428051,2381.18000043637,28.0695,33617840.0,32.54,28.292,27.95,32.8975,252252960.0,32.54,32.8975,32.075
2015-05-03,237.83087142857144,2386.267105844745,1.0338836558450009,2393.365374760145,2370.256993593725,27.58575,32708950.0,31.86625,27.776000000000003,27.31125,32.20875,211434320.0,31.86625,32.20875,31.54
2015-05-07,237.9716,2373.68922067779,17.4001540097,2378.52746523978,2359.33398675108,27.102,31800060.0,31.1925,27.26,26.6725,31.52,170615680.0,31.1925,31.52,31.005
2015-05-11,238.0549,2387.69535878886,-6.53281124198,2397.73483734454,2386.71748680536,27.289,21830060.0,31.8475,27.6685,27.28,31.89,167682960.0,31.8475,31.89,31.4063
2015-05-15,238.2215,2412.26211871747,-7.96314089131,2429.91335774269,2409.31007211223,27.3245,33380560.0,32.2675,27.53,27.125,32.3725,152513880.0,32.2675,32.3725,32.0525
2015-05-19,238.3048,2412.81686149659,-12.54449607521,2433.34829133501,2410.76963178572,27.464,47090900.0,32.6725,27.67,27.356,32.72,177581760.0,32.6725,32.72,32.41
2015-05-23,238.408925,2434.5227386492397,22.337993437905006,2447.37527336108,2405.78492815373,27.58825,40966070.0,32.62875,27.71725,27.342550000000003,32.8925,180333120.0,32.62875,32.8925,32.46125
2015-05-27,238.51305,2456.22861580189,57.22048295102,2461.40225538715,2400.80022452174,27.7125,34841240.0,32.585,27.7645,27.3291,33.065,183084480.0,32.585,33.065,32.5125
