# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL, NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
2.385533596253816540e+03,3.217954975771930814e+07,1.909477689431202412e+08,2.365993598513727818e+02,2.813164437521906791e+01,3.167078565171428295e+01,6.329269185700574951e+00,2.387334991031177651e+03,2.368437150846123586e+03,2.808018021117658236e+01,3.107578892413135918e+01,2.788719308302076172e+01,3.167078565171428295e+01,3.107578892413135918e+01,3.104096717651900406e+01
2.354927934489783183e+03,3.347131819349822402e+07,1.678368815376215279e+08,2.365993598513728102e+02,2.819795083450054562e+01,3.161096412744947770e+01,-2.249179421948042545e+00,2.369242606241447447e+03,2.352114526866933375e+03,2.774127844153345279e+01,3.153204840491451932e+01,2.777220143489974902e+01,3.161096412744947770e+01,3.153204840491451932e+01,3.110661329212881299e+01
2.345281176464584860e+03,3.526403856803134829e+07,1.660455009932110012e+08,2.365993598513727818e+02,2.794139398874769142e+01,3.122633521674787005e+01,3.164463828949266144e+00,2.346016824126655592e+03,2.324018100343088008e+03,2.754831634101759619e+01,3.119825809885099943e+01,2.730527587514932009e+01,3.122633521674787005e+01,3.119825809885099943e+01,3.067805142706191646e+01
2.339196412259072531e+03,4.137410765942107141e+07,1.451013406797572672e+08,2.367142130850572528e+02,2.731172783210698185e+01,3.141952476401216643e+01,-4.284649218882140786e+00,2.357169973354818922e+03,2.339679681434670329e+03,2.706441950098192706e+01,3.124944648083808829e+01,2.704638497210967785e+01,3.141952476401216643e+01,3.124944648083808829e+01,3.114996259825051084e+01
2.358188272881597186e+03,3.448717552221187204e+07,1.537823778140390813e+08,2.367716412274889137e+02,2.727426550670246286e+01,3.195128200242028527e+01,2.972393834271905178e+00,2.359668961440454950e+03,2.310735404138760259e+03,2.727115981336331174e+01,3.118758493366790674e+01,2.679955674499247920e+01,3.195128200242028527e+01,3.118758493366790674e+01,3.110768108323789249e+01
2.353389694501758186e+03,2.947243621539711952e+07,1.485038764791857898e+08,2.368290693699204894e+02,2.761670400062065767e+01,3.203133822954461607e+01,-2.057055722444005141e+00,2.373554556862353365e+03,2.355118896839416266e+03,2.721919423566312446e+01,3.193391369221114928e+01,2.725291710820427937e+01,3.203133822954461607e+01,3.193391369221114928e+01,3.150634948537204139e+01
2.371986086304110813e+03,3.279097488555961847e+07,1.544866903030124307e+08,2.368864975123522072e+02,2.759093417538056769e+01,3.152632119668760424e+01,2.183626346274753161e+00,2.379657601488044293e+03,2.354007142601713895e+03,2.744974795038895365e+01,3.145748400935079303e+01,2.738362341192226523e+01,3.152632119668760424e+01,3.145748400935079303e+01,3.115813895300871650e+01
2.389308954200414064e+03,3.268244701352382451e+07,1.395715690178442597e+08,2.369439256547838397e+02,2.741657716462535177e+01,3.166887397118287595e+01,4.565740303478484918e-01,2.397832235234835025e+03,2.363056053698052892e+03,2.737508295389049806e+01,3.142429197499262727e+01,2.708093589457068617e+01,3.166887397118287595e+01,3.142429197499262727e+01,3.111908946435264056e+01
2.409272522761039909e+03,2.858827228416505083e+07,1.587356079881381392e+08,2.370013537972154154e+02,2.750067623202130562e+01,3.184274577998809264e+01,3.719234771081971758e+00,2.403541259281565999e+03,2.392277501312784807e+03,2.745478579191079405e+01,3.154008210650378885e+01,2.724967515784371130e+01,3.184274577998809264e+01,3.154008210650378885e+01,3.138597488036633365e+01
2.392509768519006684e+03,3.062739126176959276e+07,1.458004984078654945e+08,2.370587819396471332e+02,2.767752675115846728e+01,3.218225551425013009e+01,2.552410532409329136e+00,2.414644110300087959e+03,2.389597553302469805e+03,2.737756885850484423e+01,3.214531830658458489e+01,2.732417834169442727e+01,3.218225551425013009e+01,3.214531830658458489e+01,3.167390148457837995e+01
2.384553418200899159e+03,3.913166564682031423e+07,1.235058901680513918e+08,2.371162100820786804e+02,2.730650969081534640e+01,3.175807426429140889e+01,1.512767755188839658e+00,2.388814027654516849e+03,2.365833155197048200e+03,2.694035355389772235e+01,3.174832186378479548e+01,2.675117785417268124e+01,3.175807426429140889e+01,3.174832186378479548e+01,3.141564388324383117e+01
2.403910536962121114e+03,4.019708229850473255e+07,1.277876485621080101e+08,2.371736382245104267e+02,2.714403129188269759e+01,3.179023753846756506e+01,1.150754869174818396e+00,2.418219679343944790e+03,2.396495971349352203e+03,2.706958610392167941e+01,3.156937006309902927e+01,2.662126209029991486e+01,3.179023753846756506e+01,3.156937006309902927e+01,3.153219203546578342e+01
2.403485221978263780e+03,3.508604512549728155e+07,1.260973663177186698e+08,2.372310663669420308e+02,2.726752564345828489e+01,3.179153462261407981e+01,3.366644989861612203e+00,2.400260111565567058e+03,2.385716371162780888e+03,2.723592837920804755e+01,3.160456905734500310e+01,2.698635564152152710e+01,3.179153462261407981e+01,3.160456905734500310e+01,3.157417077174045517e+01
2.368016230347409874e+03,4.391076582843206823e+07,1.745799218413620889e+08,2.372884945093736064e+02,2.700657269060928911e+01,3.151792630836466458e+01,2.246287180533023786e+00,2.374939040232286970e+03,2.355215370326262018e+03,2.666753890029659146e+01,3.146867373097110487e+01,2.647320427981347279e+01,3.151792630836466458e+01,3.146867373097110487e+01,3.107346097336531443e+01
