,Date,last_20_pred
0,2015-03-16,2384.35195898658
1,2015-03-20,2431.81382164863
2,2015-03-24,2401.91985658201
3,2015-03-28,2372.31608389881
4,2015-04-01,2342.71231121561
5,2015-04-05,2368.08355052371
6,2015-04-09,2393.45478983181
7,2015-04-13,2388.1180510145
8,2015-04-17,2366.24887251576
9,2015-04-21,2407.74105477038
10,2015-04-25,2403.29302289104
11,2015-04-29,2398.8449910117
12,2015-05-03,2386.267105844745
13,2015-05-07,2373.68922067779
14,2015-05-11,2387.69535878886
15,2015-05-15,2412.26211871747
16,2015-05-19,2412.81686149659
17,2015-05-23,2434.52273864924
18,2015-05-27,2456.22861580189
19,2015-05-31,2440.5405213954
20,2015-06-04,2424.85242698891
21,2015-06-08,2391.10655208125
22,2015-06-12,2400.46442713884
23,2015-06-16,2394.76328573792
24,2015-06-20,2398.95455152939
25,2015-06-24,2403.14581732086
26,2015-06-28,2357.20543710476
27,2015-07-02,2311.26505688866
28,2015-07-06,2286.32395196696
29,2015-07-10,2266.21426937281
30,2015-07-14,2312.03060528832
31,2015-07-18,2303.3203423742552
32,2015-07-22,2294.61007946019
33,2015-07-26,2303.393871762085
34,2015-07-30,2312.17766406398
35,2015-08-03,2297.09919552148
36,2015-08-07,2293.37871701809
37,2015-08-11,2292.68557035801
38,2015-08-15,2275.70959306623
39,2015-08-19,2258.73361577445
40,2015-08-23,2218.74377674135
41,2015-08-27,2178.75393770825
42,2015-08-31,2168.15096665163
43,2015-09-04,2118.09795728782
44,2015-09-08,2191.13548053725
45,2015-09-12,2203.8889902019346
46,2015-09-16,2216.64249986662
47,2015-09-20,2168.2219913069
48,2015-09-24,2119.80148274718
49,2015-09-28,2067.88811755295
50,2015-10-02,2162.56339081904
51,2015-10-06,2212.49472681357
52,2015-10-10,2239.5527955035404
53,2015-10-14,2266.61086419351
54,2015-10-18,2301.01690537337
55,2015-10-22,2335.42294655323
56,2015-10-26,2353.60974570889
57,2015-10-30,2346.65862344043
58,2015-11-03,2374.49013070596
59,2015-11-07,2355.479844131405
60,2015-11-11,2336.46955755685
61,2015-11-15,2336.15543520021
62,2015-11-19,2335.84131284357
63,2015-11-23,2332.75867764413
64,2015-11-27,2353.61879613825
65,2015-12-01,2401.47477756435
66,2015-12-05,2372.2349839071003
67,2015-12-09,2342.99519024985
68,2015-12-13,2327.95207080105
69,2015-12-17,2312.90895135225
70,2015-12-21,2305.28822150372
71,2015-12-25,2335.468113347735
72,2015-12-29,2365.64800519175
73,2016-01-02,2294.400129546445
74,2016-01-06,2223.15225390114
75,2016-01-10,2171.124566235325
76,2016-01-14,2119.09687856951
77,2016-01-18,2101.02793894515
78,2016-01-22,2082.95899932079
79,2016-01-26,2073.48645265202
80,2016-01-30,2082.75217570683
81,2016-02-03,2092.01789876164
82,2016-02-07,2031.16990047176
83,2016-02-11,1970.32190218188
84,2016-02-15,2045.30471003475
85,2016-02-19,2120.28751788762
86,2016-02-23,2110.58936647124
87,2016-02-27,2168.86259374752
88,2016-03-02,2227.1358210238
89,2016-03-06,2229.483394941205
90,2016-03-10,2231.83096885861
91,2016-03-14,2269.09984341604
92,2016-03-18,2323.84367671381
93,2016-03-22,2338.42145723769
94,2016-03-26,2338.138675698945
95,2016-03-30,2337.8558941602
96,2016-04-03,2320.377405326105
97,2016-04-07,2302.89891649201
98,2016-04-11,2305.32445363724
99,2016-04-15,2307.06695135141
100,2016-04-19,2302.90653836154
101,2016-04-23,2313.022122723055
102,2016-04-27,2323.13770708457
103,2016-05-01,2256.95803859839
104,2016-05-05,2190.77837011221
105,2016-05-09,2196.94091029612
106,2016-05-13,2202.97497644866
107,2016-05-17,2224.52077456037
108,2016-05-21,2289.5545383794097
109,2016-05-25,2354.58830219845
110,2016-05-29,2376.236303760425
111,2016-06-02,2397.8843053224
112,2016-06-06,2383.75135135529
113,2016-06-10,2354.25221525826
114,2016-06-14,2347.53199107608
115,2016-06-18,2358.086880626775
116,2016-06-22,2368.64177017747
117,2016-06-26,2367.975805076595
118,2016-06-30,2367.30983997572
119,2016-07-04,2383.35623133547
120,2016-07-08,2399.40262269522
121,2016-07-12,2461.75166992041
122,2016-07-16,2487.213477447165
123,2016-07-20,2512.67528497392
124,2016-07-24,2539.11766634126
125,2016-07-28,2565.5600477086
126,2016-08-01,2549.33342102882
127,2016-08-05,2579.48616289635
128,2016-08-09,2581.96821564653
129,2016-08-13,2599.796448601656
130,2016-08-17,2617.62468155678
131,2016-08-21,2639.9210841540653
132,2016-08-25,2662.21748675135
133,2016-08-29,2694.05093523431
134,2016-09-02,2700.51720215669
135,2016-09-06,2716.49467417279
136,2016-09-10,2690.11704793629
137,2016-09-14,2663.73942169979
138,2016-09-18,2709.063990198585
139,2016-09-22,2754.38855869738
140,2016-09-26,2709.63672280451
141,2016-09-30,2775.06897258894
142,2016-10-04,2769.47961719667
143,2016-10-08,2749.5775581810303
144,2016-10-12,2729.67549916539
145,2016-10-16,2736.198900468345
146,2016-10-20,2742.7223017713
147,2016-10-24,2778.58661244188
148,2016-10-28,2769.88207755036
149,2016-11-01,2744.50959303434
150,2016-11-05,2752.3151847058957
151,2016-11-09,2760.12077637745
152,2016-11-13,2794.00709857721
153,2016-11-17,2827.89342077697
154,2016-11-21,2849.29344463371
155,2016-11-25,2858.52749593291
156,2016-11-29,2860.27318891653
157,2016-12-03,2866.085551219605
158,2016-12-07,2871.89791352268
159,2016-12-11,2889.303807715375
160,2016-12-15,2906.70970190807
161,2016-12-19,2895.78136754397
162,2016-12-23,2922.04534276237
