# NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
-9.314434556977153079e+01,1.006377502964641462e+04,1.125417171834880719e+04,1.840244921837041829e+02,2.451833456050685243e+02,1.822324505063314746e+02,2.467923763622222282e+02,2.451833456050685243e+02,2.448003118924176533e+02
-1.198648749874201940e+02,9.892416489314100545e+03,1.137634500798581394e+04,1.851763984924383237e+02,2.451169430716686009e+02,1.833172184181650550e+02,2.460023777780801311e+02,2.451169430716686009e+02,2.431548333591520077e+02
-5.615029693743409211e+01,9.931666742344590602e+03,1.133873603778892175e+04,1.833730247666333071e+02,2.442071498511690493e+02,1.811771638998196750e+02,2.448706121116120471e+02,2.442071498511690493e+02,2.419019678484020233e+02
-1.175737994302740219e+02,1.016424170589462847e+04,1.121738006819558723e+04,1.849764495551293635e+02,2.407828205053713475e+02,1.845413149658063787e+02,2.457021212264656356e+02,2.407828205053713475e+02,2.403649754814174457e+02
-2.824134454714490516e+01,1.048396621800417779e+04,1.115660075249673355e+04,1.859046573068875432e+02,2.370787979355800417e+02,1.829224309295752278e+02,2.421506129956679843e+02,2.370787979355800417e+02,2.347488692427058368e+02
-1.004298325497913709e+02,1.074688550681677953e+04,1.089001158314920394e+04,1.837104798349256498e+02,2.319962419879451545e+02,1.817089470281558192e+02,2.363229556575330434e+02,2.319962419879451545e+02,2.309774551885636811e+02
-1.260545504233984104e+01,1.083300902512785979e+04,1.104467452991090249e+04,1.861233378321844327e+02,2.282276837825742746e+02,1.847181962909687059e+02,2.350891029273155652e+02,2.282276837825742746e+02,2.282739187386631556e+02
-9.396622317033020977e+01,1.070398124858342817e+04,1.105268687255579607e+04,1.862547151559456324e+02,2.294761325188635794e+02,1.858991827910820120e+02,2.303530366144461539e+02,2.294761325188635794e+02,2.272250614051904449e+02
-9.239723381156693449e+00,1.041734376153834819e+04,1.090347507945561483e+04,1.857750169638824786e+02,2.323697655812860887e+02,1.829230627923853945e+02,2.346607311385294850e+02,2.323697655812860887e+02,2.276727301474859360e+02
-7.492396835437963887e+01,1.010302444545161597e+04,1.101659596667617916e+04,1.914347871276037836e+02,2.312456739868229931e+02,1.889584870370762246e+02,2.333837986788414298e+02,2.312456739868229931e+02,2.310563471150828150e+02
-3.862482717550906841e+01,9.902832064806563722e+03,1.083134344874289491e+04,1.910098530803516894e+02,2.283793060497401939e+02,1.881252709247817734e+02,2.325466217889324412e+02,2.283793060497401939e+02,2.272113924274940757e+02
-3.592448584983668525e+01,9.907082205709388290e+03,1.077485394968663786e+04,2.054173303925306300e+02,2.273616381422145878e+02,2.032060313857318761e+02,2.334004139828331290e+02,2.273616381422145878e+02,2.259538187462540009e+02
-4.303237122440430085e+01,1.011397563689644448e+04,1.058275234065954282e+04,2.011387219003385667e+02,2.302873102501941673e+02,2.000333674466717184e+02,2.316471888650740141e+02,2.302873102501941673e+02,2.258041972314248369e+02
-1.648000598150946416e+01,1.042918118540143951e+04,1.083921478447164009e+04,2.036368746761608861e+02,2.465421842615845662e+02,2.008531708696049520e+02,2.488184568954756628e+02,2.465421842615845662e+02,2.345674005046888624e+02
-6.401562583529641870e+01,1.071062940054011415e+04,1.072078327487295246e+04,2.002888248327060126e+02,2.382635936949010613e+02,1.970345242995442163e+02,2.395244163711894316e+02,2.382635936949010613e+02,2.373323381753690455e+02
9.380675831089888561e+00,1.082996980983889807e+04,1.062132637626175529e+04,1.955745333627533853e+02,2.343854267721535223e+02,1.922417088694733707e+02,2.400684495079406418e+02,2.343854267721535223e+02,2.331601140993030867e+02
-6.771212780595519121e+01,1.073390107832821923e+04,1.047714977175295462e+04,1.950476546801976099e+02,2.315073385536821604e+02,1.908428153381876484e+02,2.400547029799960512e+02,2.315073385536821604e+02,2.305076732118470773e+02
2.011457925621266440e+01,1.046486279837590337e+04,1.046972830592156606e+04,1.932843404596993935e+02,2.240069845955848677e+02,1.913778211237829225e+02,2.313865202481861161e+02,2.240069845955848677e+02,2.230068078394458269e+02
-6.007113357527140352e+01,1.014511365644320722e+04,1.096976349155940807e+04,1.995010162478249924e+02,2.250061517538268845e+02,1.988300460400554357e+02,2.252363902314534982e+02,2.250061517538268845e+02,2.210696610648798242e+02
