Trade Date,Index Value,Net Change,High,Low
1/10/25,"10,308.94678369070",-201.73822782606,"10,389.00507228880","10,246.65310085980"
1/8/25,"10,510.68501151680",-36.76801396703,"10,538.60586628750","10,387.43588494050"
1/7/25,"10,547.45302548380",-192.08831605547,"10,773.34508648790","10,487.28478805410"
1/6/25,"10,739.54134153930",191.49134598481,"10,839.53509156420","10,690.33544286320"
1/3/25,"10,548.04999555450",238.94802898968,"10,560.27200298660","10,354.88164244290"
1/2/25,"10,309.10196656480",37.44252135643,"10,445.04615759330","10,216.15949945800"
12/31/24,"10,271.65944520840",-80.36648383172,"10,406.31671705860","10,233.46630103970"
12/30/24,"10,352.02592904010",-183.17900421924,"10,430.21184470080","10,261.98157782630"
12/27/24,"10,535.20493325930",-126.27849098710,"10,602.35207151220","10,426.49531359480"
12/26/24,"10,661.48342424640",-30.72442584463,"10,709.75474958800","10,605.41963346100"
12/24/24,"10,692.20785009110",119.92966052992,"10,692.68194840260","10,584.39745811080"
12/23/24,"10,572.27818956110",80.07735983094,"10,587.86388983730","10,453.34603848700"
12/20/24,"10,492.20082973020",123.61908797213,"10,597.53526006290","10,251.98750318370"
12/19/24,"10,368.58174175810",-104.64357985381,"10,577.70064200760","10,360.11698549510"
12/18/24,"10,473.22532161190",-444.54534652007,"10,953.85279064590","10,428.37836812270"
12/17/24,"10,917.77066813190",-101.70212765367,"11,010.99427218700","10,901.64125294110"
12/16/24,"11,019.47279578560",123.73974999304,"11,046.66669852890","10,845.83587835700"
12/13/24,"10,895.73304579260",4.63612550694,"10,980.29388895590","10,812.74930947170"
12/12/24,"10,891.09692028560",-64.96833417713,"10,914.04652531410","10,846.36385187210"
12/11/24,"10,956.06525446280",190.99527829499,"10,987.57615336550","10,826.37177650680"
12/10/24,"10,765.06997616780",-228.13530158332,"10,963.11717937820","10,714.01267868880"
12/9/24,"10,993.20527775110",-41.75200676201,"11,135.02982685790","10,976.22903134840"
12/6/24,"11,034.95728451310",116.44824720531,"11,073.87680549900","10,948.57503336630"
12/5/24,"10,918.50903730780",-223.49777619332,"11,082.95445791960","10,912.45833500240"
12/4/24,"11,142.00681350110",247.97284777631,"11,147.51907026770","11,027.37675852350"
12/3/24,"10,894.03396572480",-47.94948692529,"10,934.19334906990","10,868.60229408640"
12/2/24,"10,941.98345265010",219.27646136799,"10,983.74704600280","10,763.81448922670"
11/29/24,"10,722.70699128210",68.95418009111,"10,780.23196243350","10,663.63305505700"
11/27/24,"10,653.75281119100",-180.28674340407,"10,760.43440599560","10,551.27623091320"
11/26/24,"10,834.03955459510",-69.94528925302,"10,958.40282604800","10,789.14518581260"
11/25/24,"10,903.98484384810",131.30661437690,"10,959.32478463040","10,849.96892062740"
11/22/24,"10,772.67822947120",82.41729651876,"10,780.58479169610","10,667.81235622940"
11/21/24,"10,690.26093295240",186.43452105627,"10,732.54983091020","10,508.33831031950"
11/20/24,"10,503.82641189620",-32.50966341717,"10,525.15828296360","10,354.84212053340"
11/19/24,"10,536.33607531330",93.35453500714,"10,543.11253201370","10,376.14545587520"
11/18/24,"10,442.98154030620",108.50401929813,"10,478.56445173920","10,347.44658952130"
11/15/24,"10,334.47752100800",-342.76848308986,"10,535.29055706970","10,306.28200407280"
11/14/24,"10,677.24600409790",-73.53367836825,"10,789.31154506750","10,667.16646852630"
11/13/24,"10,750.77968246620",-36.36070042600,"10,856.68760006430","10,734.83435304370"
11/12/24,"10,787.14038289220",-41.57318187594,"10,819.54846060310","10,687.14190947390"
11/11/24,"10,828.71356476810",-43.48688227026,"10,855.67659301000","10,747.51593134750"
11/8/24,"10,872.20044703840",-83.53256077145,"10,939.97276592870","10,833.29341761380"
11/7/24,"10,955.73300780980",247.29627804609,"10,970.27024262390","10,794.08530517580"
11/6/24,"10,708.43672976370",316.89999285858,"10,721.01286986330","10,556.08243367520"
11/5/24,"10,391.53673690510",137.25976969802,"10,393.20307000320","10,306.35637850910"
11/4/24,"10,254.27696720710",-27.09640335630,"10,338.89417808030","10,185.48413337710"
11/1/24,"10,281.37337056340",127.18100914214,"10,338.16581614770","10,193.24020917090"
10/31/24,"10,154.19236142130",-313.85739270645,"10,393.20296675790","10,134.96784546960"
10/30/24,"10,468.04975412770",-277.27628342071,"10,621.50508690790","10,466.27149101360"
10/29/24,"10,745.32603754840",221.46664657283,"10,776.64558168730","10,513.95048938230"
10/28/24,"10,523.85939097560",34.97961853806,"10,582.81010286450","10,490.82255986090"
10/25/24,"10,488.87977243760",87.90871435886,"10,621.49659488730","10,477.84301528040"
10/24/24,"10,400.97105807870",71.68359935754,"10,425.68086960780","10,344.12392361390"
10/23/24,"10,329.28745872110",-170.16689722161,"10,480.67888950480","10,241.62893223940"
10/22/24,"10,499.45435594280",-31.11061559180,"10,532.63571099620","10,434.23782133320"
10/21/24,"10,530.56497153460",-23.61999904042,"10,588.64670820700","10,439.05474999980"
10/18/24,"10,554.18497057500",28.88612959796,"10,600.97562912470","10,534.28060244270"
10/17/24,"10,525.29884097700",-3.94318629890,"10,675.71372661740","10,524.33390940200"
10/16/24,"10,529.24202727590",-47.84878218393,"10,614.29173990200","10,486.79999918840"
10/15/24,"10,577.09080945990",-347.36789209663,"10,932.57611776750","10,528.61342677310"
10/14/24,"10,924.45870155650",120.19545865600,"10,949.85399116710","10,840.84336617350"
10/11/24,"10,804.26324290050",91.92817663697,"10,832.81479347840","10,680.12872875650"
10/10/24,"10,712.33506626350",47.73439292726,"10,736.35329503570","10,562.21196015910"
10/9/24,"10,664.60067333630",150.22647501793,"10,675.28878768960","10,491.21977881910"
10/8/24,"10,514.37419831830",101.58905816358,"10,531.33876740550","10,378.87913573690"
10/7/24,"10,412.78514015470",-73.69450653941,"10,485.17828455280","10,370.90067268800"
10/4/24,"10,486.47964669410",150.97780881758,"10,518.99693011900","10,377.64381383260"
10/3/24,"10,335.50183787660",-4.64686603908,"10,420.73651241290","10,251.00806734240"
10/2/24,"10,340.14870391560",107.77346822892,"10,400.01304848190","10,197.68769431420"
10/1/24,"10,232.37523568670",-210.88070933609,"10,470.93148436970","10,163.95541431580"
9/30/24,"10,443.25594502280",-46.44091764561,"10,492.42710789730","10,337.89550232980"
9/27/24,"10,489.69686266840",-50.33045188947,"10,591.04744264340","10,459.77095195050"
9/26/24,"10,540.02731455790",207.04728098013,"10,669.01461174540","10,368.10495353050"
9/25/24,"10,332.98003357780",1.62435161109,"10,411.34846843490","10,300.65846615100"
9/24/24,"10,331.35568196670",66.73885780310,"10,382.20282513320","10,222.81620933700"
9/23/24,"10,264.61682416360",33.86915855964,"10,291.41979479230","10,240.94013217300"
9/20/24,"10,230.74766560390",-68.87690789695,"10,275.73437253800","10,116.92346063470"
9/19/24,"10,299.62457350090",297.32661896226,"10,380.84602790480","10,234.90594948010"
9/18/24,"10,002.29795453860",-73.08618777323,"10,187.02842598990","9,993.84666597583"
9/17/24,"10,075.38414231190",-17.59235582805,"10,184.31351242880","10,029.88376413090"
9/16/24,"10,092.97649813990",-27.42812183027,"10,105.05907921620","10,000.22370034870"
9/13/24,"10,120.40461997020",74.39132881596,"10,153.07519161550","10,056.24074642350"
9/12/24,"10,046.01329115420",-12.95070199396,"10,111.63410341370","9,959.71246784556"
9/11/24,"10,058.96399314820",258.63507526806,"10,072.64306718760","9,650.45473041710"
9/10/24,"9,800.32891788012",56.19511126550,"9,807.17494401503","9,636.25540783576"
9/9/24,"9,744.13380661462",125.35129873019,"9,773.48242488458","9,644.02729440353"
9/6/24,"9,618.78250788443",-255.80892883130,"9,883.22902266682","9,576.46349169625"
9/5/24,"9,874.59143671573",-42.53569050804,"9,968.15698183187","9,797.80691280194"
9/4/24,"9,917.12712722377",-84.25667007387,"10,025.06825993730","9,838.47652389917"
9/3/24,"10,001.38379729760",-463.82019241691,"10,351.04766303300","9,954.21684051020"
8/30/24,"10,465.20398971450",215.86813023353,"10,486.38777647380","10,344.73938889320"
8/29/24,"10,249.33585948100",96.98697028394,"10,418.21415553230","10,223.23035159620"
8/28/24,"10,152.34888919710",-160.81540429572,"10,309.91758502480","10,079.15216834090"
8/27/24,"10,313.16429349280",43.89563364450,"10,335.21156527330","10,170.79388010730"
8/26/24,"10,269.26865984830",-200.73220454767,"10,420.13030927930","10,241.75007226030"
8/23/24,"10,470.00086439600",144.23003527964,"10,522.78994263390","10,366.55423985650"
8/22/24,"10,325.77082911630",-243.69891108772,"10,601.92696872770","10,308.33663433440"
8/21/24,"10,569.46974020400",116.20075204131,"10,579.44024217410","10,472.08505774760"
8/20/24,"10,453.26898816270",-62.23998544968,"10,547.08391112490","10,418.52773427480"
8/19/24,"10,515.50897361240",137.42375404033,"10,515.50897361240","10,326.51195492710"
8/16/24,"10,378.08521957210",8.02467278737,"10,406.13386789300","10,293.52907252980"
8/15/24,"10,370.06054678470",327.71131211612,"10,383.59002066870","10,187.81295260500"
8/14/24,"10,042.34923466860",12.63511845913,"10,102.76991570610","9,931.77122906638"
8/13/24,"10,029.71411620950",276.57260172953,"10,039.63114222960","9,838.35226657423"
8/12/24,"9,753.14151447994",-7.20677958727,"9,824.31345597441","9,689.19288860178"
8/9/24,"9,760.34829406721",19.78308416711,"9,803.83734842279","9,648.11115000908"
8/8/24,"9,740.56520990010",405.35470329908,"9,750.60920290025","9,424.28412152437"
8/7/24,"9,335.21050660102",-60.76157761204,"9,718.74392266932","9,328.32337430407"
8/6/24,"9,395.97208421306",107.66233507625,"9,558.25619573290","9,294.22690896696"
8/5/24,"9,288.30974913681",-193.19997009858,"9,457.61005200186","9,019.48099810106"
8/2/24,"9,481.50971923539",-441.87488477179,"9,608.73265417690","9,382.55104661440"
8/1/24,"9,923.38460400718",-424.60491581079,"10,347.97709950120","9,824.51712051770"
7/31/24,"10,347.98951981800",348.49208557288,"10,380.90595011800","10,225.68399194720"
7/30/24,"9,999.49743424509",-212.50485639713,"10,267.92858486920","9,927.04300053846"
7/29/24,"10,212.00229064220",-7.78835709399,"10,359.32912944990","10,184.07802855570"
7/26/24,"10,219.79064773620",125.65273994473,"10,289.83406181000","10,148.34672104150"
7/25/24,"10,094.13790779150",-78.16478242155,"10,352.95398168910","9,980.09157475090"
7/24/24,"10,172.30269021300",-448.34339308245,"10,511.00138772220","10,158.12695437090"
7/23/24,"10,620.64608329550",-89.21031317219,"10,712.54526099930","10,611.52105777500"
7/22/24,"10,709.85639646770",206.40626741358,"10,720.97854485510","10,561.04118402720"
7/19/24,"10,503.45012905410",-158.13694166392,"10,644.79368901610","10,481.34978276430"
7/18/24,"10,661.58707071800",-96.10835692846,"10,847.56399913310","10,570.29946694660"
7/17/24,"10,757.69542764650",-465.28425632970,"11,016.62116723870","10,753.68369558180"
7/16/24,"11,222.97968397620",54.50162790076,"11,230.54338072540","11,114.00772738590"
7/15/24,"11,168.47805607540",22.76187225158,"11,280.51404030010","11,119.98142129600"
7/12/24,"11,145.71618382380",144.77685879932,"11,257.69642639550","11,023.88597813010"
7/11/24,"11,000.93932502450",-224.03106555562,"11,261.39014905470","10,988.29941013470"
7/10/24,"11,224.97039058010",120.64789958232,"11,234.52172961980","11,073.99280375630"
7/9/24,"11,104.32249099780",-74.64629020072,"11,214.65264390850","11,059.05821143390"
7/8/24,"11,178.96878119850",26.20753281989,"11,188.05641966280","11,117.82092079100"
7/5/24,"11,152.76124837860",128.41292093080,"11,162.21872489410","11,023.56819480100"
7/3/24,"11,024.34832744780",80.35840962710,"11,049.80541796500","10,940.96980675990"
7/2/24,"10,943.98991782070",111.62281879776,"10,945.81689591420","10,795.30430664780"
7/1/24,"10,832.36709902300",41.71572283372,"10,839.92998584300","10,662.36655618390"
6/28/24,"10,790.65137618930",41.29190005912,"10,940.81284360310","10,756.76597691250"
6/27/24,"10,749.35947613010",52.51478005468,"10,782.01527716520","10,687.25564076240"
6/26/24,"10,696.84469607550",6.88918385830,"10,719.20115196200","10,642.58669627510"
