Date,CPI,IndexValue_NDXT,NetChange_NDXT,High_NDXT,Low_NDXT,Close/Last_GOOGL,Volume_GOOGL,Open_GOOGL,High_GOOGL,Low_GOOGL,Close/Last_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL
2025-01-06,315.493,10739.5413415393,191.49134598481,10839.5350915642,10690.3354428632,196.87,29563640,244.31,198.2222,193.85,247.33,45045570,244.31,247.33,243.2
2025-01-03,315.493,10548.0499955545,238.94802898968,10560.2720029866,10354.8816424429,191.79,18596160,243.36,193.21,189.975,244.18,40244110,243.36,244.18,241.89
2025-01-02,315.493,10309.1019665648,37.44252135643,10445.0461575933,10216.159499458,189.43,20370830,248.93,192.0,187.5,249.1,55740730,248.93,249.1,241.8201
2024-12-31,315.493,10271.6594452084,-80.36648383172,10406.3167170586,10233.4663010397,189.3,17466920,252.44,191.96,188.51,253.28,39480720,252.44,253.28,249.43
2024-12-30,315.493,10352.0259290401,-183.17900421924,10430.2118447008,10261.9815778263,191.24,14264660,252.23,192.55,189.12,253.5,35557540,252.23,253.5,250.75
2024-12-27,315.493,10535.2049332593,-126.2784909871,10602.3520715122,10426.4953135948,192.76,18891360,257.83,195.32,190.65,258.7,42355320,257.83,258.7,253.06
2024-12-26,315.493,10661.4834242464,-30.72442584463,10709.754749588,10605.419633461,195.6,12057210,258.19,196.748,194.375,260.1,27262980,258.19,260.1,257.63
2024-12-24,315.493,10692.2078500911,119.92966052992,10692.6819484026,10584.3974581108,196.11,10403260,255.49,196.11,193.78,258.21,23234710,255.49,258.21,255.29
2024-12-23,315.493,10572.2781895611,80.07735983094,10587.8638898373,10453.346038487,194.63,25675010,254.77,195.1,190.15,255.65,40858770,254.77,255.65,253.45
2024-12-20,315.493,10492.2008297302,123.61908797213,10597.5352600629,10251.9875031837,191.41,63462930,248.04,192.89,185.22,255.0,147495300,248.04,255.0,245.69
2024-12-19,315.493,10368.5817417581,-104.64357985381,10577.7006420076,10360.1169854951,188.51,32265240,247.5,193.03,188.38,252.0,60882260,247.5,252.0,247.0949
2024-12-18,315.493,10473.2253216119,-444.54534652007,10953.8527906459,10428.3783681227,188.4,34166070,252.16,197.0,187.74,254.28,56774100,252.16,254.28,247.74
2024-12-17,315.493,10917.7706681319,-101.70212765367,11010.994272187,10901.6412529411,195.42,43504030,250.08,201.42,194.98,253.83,51356360,250.08,253.83,249.78
2024-12-16,315.493,11019.4727957856,123.73974999304,11046.6666985289,10845.835878357,196.66,44934900,247.99,199.0,192.62,251.38,51694750,247.99,251.38,247.65
2024-12-13,315.493,10895.7330457926,4.63612550694,10980.2938889559,10812.7493094717,189.82,25143500,247.815,192.73,189.64,249.2902,33155290,247.815,249.2902,246.24
2024-12-12,315.493,10891.0969202856,-64.96833417713,10914.0465253141,10846.3638518721,191.96,34817490,246.89,195.18,191.71,248.74,32777530,246.89,248.74,245.68
2024-12-11,315.493,10956.0652544628,190.99527829499,10987.5761533655,10826.3717765068,195.4,67894070,247.96,195.61,184.85,250.8,45205810,247.96,250.8,246.2601
2024-12-10,315.493,10765.0699761678,-228.13530158332,10963.1171793782,10714.0126786888,185.17,54813020,246.89,186.36,181.05,248.21,36914810,246.89,248.21,245.34
2024-12-09,315.493,10993.2052777511,-41.75200676201,11135.0298268579,10976.2290313484,175.37,25389630,241.83,176.26,173.65,247.24,44649230,241.83,247.24,241.75
2024-12-06,315.493,11034.9572845131,116.44824720531,11073.876805499,10948.5750333663,174.71,21462390,242.905,175.08,171.86,244.63,36870620,242.905,244.63,242.08
2024-12-05,315.493,10918.5090373078,-223.49777619332,11082.9544579196,10912.4583350024,172.64,21356240,243.99,176.06,172.33,244.54,40033880,243.99,244.54,242.13
2024-12-04,315.493,11142.0068135011,247.97284777631,11147.5190702677,11027.3767585235,174.37,31615140,242.87,174.91,171.06,244.11,44383940,242.87,244.11,241.25
2024-12-03,315.493,10894.0339657248,-47.94948692529,10934.1933490699,10868.6022940864,171.34,22248710,239.81,172.68,170.85,242.76,38861020,239.81,242.76,238.9
2024-12-02,315.493,10941.9834526501,219.27646136799,10983.7470460028,10763.8144892267,171.49,23789080,237.27,172.075,168.57,240.79,48137100,237.27,240.79,237.16
2024-11-29,315.493,10722.7069912821,68.95418009111,10780.2319624335,10663.633055057,168.95,14257240,234.805,169.43,167.16,237.81,28481380,234.805,237.81,233.97
2024-11-27,315.493,10653.752811191,-180.28674340407,10760.4344059956,10551.2762309132,169.23,19266510,234.465,169.4832,168.02,235.69,33498440,234.465,235.69,233.8101
2024-11-26,315.493,10834.0395545951,-69.94528925302,10958.402826048,10789.1451858126,169.12,20486720,233.33,169.82,167.58,235.57,45986190,233.33,235.57,233.33
2024-11-25,315.493,10903.9848438481,131.3066143769,10959.3247846304,10849.9689206274,167.65,33135260,231.46,168.63,165.6072,233.245,90152830,231.46,233.245,229.74
2024-11-22,315.493,10772.6782294712,82.41729651876,10780.5847916961,10667.8123562294,164.76,38604590,228.06,166.46,163.9,230.7199,38168250,228.06,230.7199,228.06
2024-11-21,315.493,10690.2609329524,186.43452105627,10732.5498309102,10508.3383103195,167.63,59734380,228.88,174.13,163.7,230.155,42108330,228.88,230.155,225.7103
