# NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
3.693992271467669752e+01,6.962983229841520370e+02,8.364400050978474610e+01,5.824983036117515667e+00,-1.084765581286092129e+00,5.796937207614604404e+00,-8.607311385294735828e-01,-1.084765581286092129e+00,2.752269852514075410e+00
1.842181048244496537e+02,9.481106569326839235e+02,-1.584562999195786688e+02,-1.047871276037710686e-01,-2.715673986822991992e+00,-9.284870370762234870e-01,-7.137986788414423245e-01,-2.715673986822991992e+00,-2.786347115082804748e+00
2.128684848305990727e+02,1.055600695701636141e+03,-2.680267161319534353e+01,1.537014691964830604e+01,-1.129306049740193885e+00,1.468472907521822890e+01,5.833782110675542754e-01,-1.129306049740193885e+00,-5.613924274940700343e-01
-6.071114898511331148e+01,9.289719205817109469e+02,-1.759456404034372099e+02,-4.187330392530640211e+00,2.628361857785421307e+00,-3.106031385731881755e+00,-1.570413982833116506e+00,2.628361857785421307e+00,-2.538187462540122397e-01
6.322224339533430282e+01,9.632378166624548612e+02,2.458776431259575475e+02,2.881278099661443548e+00,1.690268974980583039e+01,1.766632553328292943e+00,1.554281113492598365e+01,1.690268974980583039e+01,7.635802768575160826e+00
1.560986836363894668e+02,4.652550710673604044e+02,-1.084090124306403595e+02,-2.766874676160881563e+00,-7.877184261584574188e+00,-3.183170869604964537e+00,-8.028456895475670763e+00,-7.877184261584574188e+00,2.642599495311145574e+00
1.852724614168641892e+01,7.382891123368608532e+01,-9.479571054155167076e+01,-4.878824832706015968e+00,-4.143593694901056779e+00,-3.604524299544209498e+00,3.305836288105581389e-01,-4.143593694901056779e+00,-3.322338175369054625e+00
1.642876680618801117e+02,-3.967376407949814165e+01,-1.420103790978555480e+02,-2.745333627533739218e-01,-3.535426772153527963e+00,-1.561708869473363848e+00,1.215504920593559746e-01,-3.535426772153527963e+00,-2.350114099303084458e+00
-2.840408082300648402e+02,4.558062627280378365e+00,-3.591309310015458323e+01,-3.237654680197607604e+00,-7.487338553682150177e+00,-1.128153381876586536e-01,-7.904702979996045542e+00,-7.487338553682150177e+00,-6.527673211847087487e+00
-1.304100699179826677e+02,5.704593074707972846e+02,4.365608426174330816e+02,6.925659540300614481e+00,7.730154044151333892e-01,6.622178876217077459e+00,-5.756520248186120625e+00,7.730154044151333892e-01,-1.596807839445830268e+00
