# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL
-7.535064374907778983e+01,2.077245278166204691e+06,-3.002896231799334288e+06,9.840016207363078138e-05,6.811430927508814648e+01,-1.683207796958981817e+00
3.882370744407853635e+01,1.865216540322579443e+06,-1.812422315483026206e+07,9.823018956467421958e-05,6.479430927508815330e+01,5.897836939820422231e-02
-2.437640630377318303e+02,3.195495692715350538e+06,8.424299617975428700e+05,9.806021705571765779e-05,6.456430927508816353e+01,-1.137617493566864368e+00
-2.864805180173971166e+01,1.002178122287471592e+07,1.288974139851629734e+06,9.789024454676109599e-05,6.669430927508815898e+01,-3.125508248267863110e-01
-1.082162464919128979e+02,3.943237387676745653e+06,-1.036859458743321896e+07,9.772027209464795305e-05,7.112430927508816580e+01,3.542379998199976399e+00
2.516118993304371543e+02,-1.537542721047071368e+07,-1.349373739873947203e+07,9.755029958569139126e-05,7.274430927508814193e+01,1.751968622659205721e-01
3.212818524666545272e+01,-4.500286814549997449e+06,1.361975475998342037e+06,9.738032713357824832e-05,7.229430927508815330e+01,-3.328741478076125304e+00
6.966754769194812980e+01,1.532651146858248860e+07,3.752640334616661072e+06,9.721035462462168653e-05,7.514430927508814761e+01,7.239632555955353155e+00
4.228670015988991508e+02,-1.072196060137059540e+07,4.369400786557741463e+06,9.704038217250854359e-05,7.695430927508814989e+01,3.674995313734825686e-01
-1.989297769738550414e+02,-3.526359161530621350e+06,1.844062145943820477e+06,9.687040960670856293e-05,7.926430927508815216e+01,3.004525102449548513e+00
-1.448117004480045580e+02,-6.977110215138617903e+06,-1.331982346556329727e+07,9.670043721143883886e-05,7.889430927508814761e+01,-3.319733906520440314e+00
1.959535870903218893e+02,-9.371792996741611511e+06,-7.855585460704639554e+06,9.653046464563885820e-05,7.973690927508815207e+01,-8.004852964839699325e-01
-3.292343960501239053e+01,-4.977129899580314755e+06,-1.185682106089951843e+07,9.636049219352571527e-05,8.084430927508816467e+01,-1.499083547277081152e+00
2.256596107012464927e+02,-4.848615831644549966e+06,4.241327644397541881e+05,9.619051974141257233e-05,7.947430927508816012e+01,1.320328462852927487e+00
-8.715577874217706267e+01,4.150109210733540356e+06,1.805163636719107628e+06,9.602054717561259167e-05,8.088430927508815671e+01,-2.308279793909662203e-01
2.109982744570352224e+02,7.005457848906517029e+04,-9.766801440186344087e+06,9.585057478034286760e-05,8.014430927508814761e+01,-4.892418859109852747e-01
-5.036770184662782412e+01,-4.158453054743666202e+06,-1.009229402980314940e+07,9.568060221454288694e-05,8.193430927508813966e+01,-5.379610445029641141e-01
4.606760365409354563e+01,1.125809385401435196e+06,3.396014041911259294e+06,9.551062981927316287e-05,7.998430927508815103e+01,-9.864030732923367850e-01
-1.594339303291162651e+02,-8.434761074726805091e+05,1.901229626056037843e+06,9.534065725347318221e-05,7.835430927508815557e+01,6.887971101056393763e-01
-9.766133973043906735e-01,6.779253712157148868e+06,3.464984797541864216e+06,9.517068474451662041e-05,7.492930927508814420e+01,-1.644285485682274839e+00
-3.516958810264222848e+02,1.171221133396815881e+07,-2.546072629043258727e+06,9.500071246293373406e-05,7.651430927508815216e+01,-1.865398839665857622e+00
-1.075705641385138733e+01,-1.511006752705761790e+07,1.512240391267448664e+06,9.483073961291665910e-05,7.802430927508814307e+01,-9.657376603391298886e-01
-3.073533302767100395e+02,-5.608929025756992400e+06,-6.173914941384240985e+06,9.466076744502061047e-05,7.819430927508815898e+01,-2.549550015540859249e+00
