,15_pred_ahead,30_pred_ahead,60_pred_ahead,180_pred_ahead,365_pred_ahead
0,2384.35195898658,2384.35195898658,2384.35195898658,2384.35195898658,2384.35195898658
1,2376.41956572971,2376.41956572971,2376.41956572971,2376.41956572971,2376.41956572971
2,2400.89045814197,2400.89045814197,2400.89045814197,2400.89045814197,2400.89045814197
3,2407.72826553601,2407.72826553601,2407.72826553601,2407.72826553601,2407.72826553601
4,2431.81382164863,2431.81382164863,2431.81382164863,2431.81382164863,2431.81382164863
5,2418.34356909118,2418.34356909118,2418.34356909118,2418.34356909118,2418.34356909118
6,2401.91985658201,2401.91985658201,2401.91985658201,2401.91985658201,2401.91985658201
7,2321.07988190621,2321.07988190621,2321.07988190621,2321.07988190621,2321.07988190621
8,2303.99565899926,2303.99565899926,2303.99565899926,2303.99565899926,2303.99565899926
9,2340.35233390295,2340.35233390295,2340.35233390295,2340.35233390295,2340.35233390295
10,2378.89010104686,2378.89010104686,2378.89010104686,2378.89010104686,2378.89010104686
11,2352.35639974886,2352.35639974886,2352.35639974886,2352.35639974886,2352.35639974886
12,2342.71231121561,2342.71231121561,2342.71231121561,2342.71231121561,2342.71231121561
13,2342.55571996193,2342.55571996193,2342.55571996193,2342.55571996193,2342.55571996193
14,2355.05564819831,2355.05564819831,2355.05564819831,2355.05564819831,2355.05564819831
15,2354.0453025946,2354.0453025946,2354.0453025946,2354.0453025946,2354.0453025946
16,2372.97411530211,2372.97411530211,2372.97411530211,2372.97411530211,2372.97411530211
17,2393.45478983181,2393.45478983181,2393.45478983181,2393.45478983181,2393.45478983181
18,2405.18539683096,2405.18539683096,2405.18539683096,2405.18539683096,2405.18539683096
19,2388.1180510145,2388.1180510145,2388.1180510145,2388.1180510145,2388.1180510145
20,2380.40662239015,2380.40662239015,2380.40662239015,2380.40662239015,2380.40662239015
21,2406.37450435492,2406.37450435492,2406.37450435492,2406.37450435492,2406.37450435492
22,2398.37940649643,2398.37940649643,2398.37940649643,2398.37940649643,2398.37940649643
23,2366.24887251576,2366.24887251576,2366.24887251576,2366.24887251576,2366.24887251576
24,2394.46074310572,2394.46074310572,2394.46074310572,2394.46074310572,2394.46074310572
25,2407.74105477038,2407.74105477038,2407.74105477038,2407.74105477038,2407.74105477038
26,2427.20457116761,2427.20457116761,2427.20457116761,2427.20457116761,2427.20457116761
27,2418.66101891389,2418.66101891389,2418.66101891389,2418.66101891389,2418.66101891389
28,2409.59650516781,2409.59650516781,2409.59650516781,2409.59650516781,2409.59650516781
29,2408.5473758932,2408.5473758932,2408.5473758932,2408.5473758932,2408.5473758932
30,2414.17737770971,2414.17737770971,2414.17737770971,2414.17737770971,2414.17737770971
31,2398.8449910117,2398.8449910117,2398.8449910117,2398.8449910117,2398.8449910117
32,2370.21561450332,2370.21561450332,2370.21561450332,2370.21561450332,2370.21561450332
33,2409.84050904427,2409.84050904427,2409.84050904427,2409.84050904427,2409.84050904427
34,2410.8511295573,2410.8511295573,2410.8511295573,2410.8511295573,2410.8511295573
35,2368.50432628912,2368.50432628912,2368.50432628912,2368.50432628912,2368.50432628912
36,2356.28906666809,2356.28906666809,2356.28906666809,2356.28906666809,2356.28906666809
37,2373.68922067779,2373.68922067779,2373.68922067779,2373.68922067779,2373.68922067779
38,2394.22817003084,2394.22817003084,2394.22817003084,2394.22817003084,2394.22817003084
39,2387.69535878886,2387.69535878886,2387.69535878886,2387.69535878886,2387.69535878886
40,2372.91823781238,2372.91823781238,2372.91823781238,2372.91823781238,2372.91823781238
41,2385.78895960237,2385.78895960237,2385.78895960237,2385.78895960237,2385.78895960237
42,2420.22525960878,2420.22525960878,2420.22525960878,2420.22525960878,2420.22525960878
43,2412.26211871747,2412.26211871747,2412.26211871747,2412.26211871747,2412.26211871747
44,2425.3613575718,2425.3613575718,2425.3613575718,2425.3613575718,2425.3613575718
45,2412.81686149659,2412.81686149659,2412.81686149659,2412.81686149659,2412.81686149659
46,2416.38263618192,2416.38263618192,2416.38263618192,2416.38263618192,2416.38263618192
47,2421.41170769178,2421.41170769178,2421.41170769178,2421.41170769178,2421.41170769178
48,2427.45427981445,2427.45427981445,2427.45427981445,2427.45427981445,2427.45427981445
49,2399.00813285087,2399.00813285087,2399.00813285087,2399.00813285087,2399.00813285087
50,2456.22861580189,2456.22861580189,2456.22861580189,2456.22861580189,2456.22861580189
51,2458.68111868728,2458.68111868728,2458.68111868728,2458.68111868728,2458.68111868728
52,2449.36815478122,2449.36815478122,2449.36815478122,2449.36815478122,2449.36815478122
53,2460.12215873045,2460.12215873045,2460.12215873045,2460.12215873045,2460.12215873045
54,2448.219766828,2448.219766828,2448.219766828,2448.219766828,2448.219766828
55,2446.51499007751,2446.51499007751,2446.51499007751,2446.51499007751,2446.51499007751
56,2424.85242698891,2424.85242698891,2424.85242698891,2424.85242698891,2424.85242698891
57,2426.42923066709,2426.42923066709,2426.42923066709,2426.42923066709,2426.42923066709
58,2391.10655208125,2391.10655208125,2391.10655208125,2391.10655208125,2391.10655208125
59,2384.78578641749,2384.78578641749,2384.78578641749,2384.78578641749,2384.78578641749
60,2418.51610063017,2418.51610063017,2418.51610063017,2418.51610063017,2418.51610063017
61,2419.07938638486,2419.07938638486,2419.07938638486,2419.07938638486,2419.07938638486
62,2400.46442713884,2400.46442713884,2400.46442713884,2400.46442713884,2400.46442713884
63,2385.12555882764,2385.12555882764,2385.12555882764,2385.12555882764,2385.12555882764
64,2394.76328573792,2394.76328573792,2394.76328573792,2394.76328573792,2394.76328573792
65,2399.09031239752,2399.09031239752,2399.09031239752,2399.09031239752,2399.09031239752
66,2428.03781957885,2428.03781957885,2428.03781957885,2428.03781957885,2428.03781957885
67,2414.77393023591,2414.77393023591,2414.77393023591,2414.77393023591,2414.77393023591
68,2431.09641639301,2431.09641639301,2431.09641639301,2431.09641639301,2431.09641639301
69,2423.3545613742,2423.3545613742,2423.3545613742,2423.3545613742,2423.3545613742
70,2403.14581732086,2403.14581732086,2403.14581732086,2403.14581732086,2403.14581732086
71,2394.82869088076,2394.82869088076,2394.82869088076,2394.82869088076,2394.82869088076
72,2355.89475837116,2355.89475837116,2355.89475837116,2355.89475837116,2355.89475837116
73,2299.47065472902,2299.47065472902,2299.47065472902,2299.47065472902,2299.47065472902
74,2298.78574949225,2298.78574949225,2298.78574949225,2298.78574949225,2298.78574949225
75,2307.6024602725,2307.6024602725,2307.6024602725,2307.6024602725,2307.6024602725
76,2311.26505688866,2311.26505688866,2311.26505688866,2311.26505688866,2311.26505688866
77,2286.32395196696,2286.32395196696,2286.32395196696,2286.32395196696,2286.32395196696
78,2289.69949462325,2289.69949462325,2289.69949462325,2289.69949462325,2289.69949462325
79,2249.94162567831,2249.94162567831,2249.94162567831,2249.94162567831,2249.94162567831
80,2241.22164926517,2241.22164926517,2241.22164926517,2241.22164926517,2241.22164926517
81,2266.21426937281,2266.21426937281,2266.21426937281,2266.21426937281,2266.21426937281
82,2294.03794094417,2294.03794094417,2294.03794094417,2294.03794094417,2294.03794094417
83,2312.03060528832,2312.03060528832,2312.03060528832,2312.03060528832,2312.03060528832
84,2303.06458916508,2303.06458916508,2303.06458916508,2303.06458916508,2303.06458916508
85,2309.52018495355,2309.52018495355,2309.52018495355,2309.52018495355,2309.52018495355
86,2321.68820871505,2321.68820871505,2321.68820871505,2321.68820871505,2321.68820871505
87,2314.04644328352,2314.04644328352,2314.04644328352,2314.04644328352,2314.04644328352
88,2317.47271057964,2317.47271057964,2317.47271057964,2317.47271057964,2317.47271057964
89,2294.61007946019,2294.61007946019,2294.61007946019,2294.61007946019,2294.61007946019
90,2311.60398806943,2311.60398806943,2311.60398806943,2311.60398806943,2311.60398806943
91,2280.63236781371,2280.63236781371,2280.63236781371,2280.63236781371,2280.63236781371
92,2257.46525378092,2257.46525378092,2257.46525378092,2257.46525378092,2257.46525378092
