,Date,Residual
0,2025-03-11,343.202393100657
1,2025-03-15,124.56029452688973
2,2025-03-19,-66.42405774349326
3,2025-03-23,-65.83873891599858
4,2025-03-27,-34.057334855799404
5,2025-03-31,28.625143930646296
6,2025-04-04,36.54639624541222
7,2025-04-08,37.81112129467074
8,2025-04-12,36.95672943790233
9,2025-04-16,29.226058604550797
10,2025-04-20,19.624405467852178
11,2025-04-24,20.930350096913983
12,2025-04-28,1.7729109814359152
13,2025-05-02,-5.077827662001931
14,2025-05-06,-6.0400322110258235
15,2025-05-10,-0.9729051752247555
16,2025-05-14,-0.43243632047946345
17,2025-05-18,-2.04363628291416
18,2025-05-22,-4.4232965571181255
19,2025-05-26,-6.631255577519691
