# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL, NetChange_NDXT, High_NDXT, Low_NDXT, Close/Last_GOOGL, Open_GOOGL, Low_GOOGL, Close/Last_AAPL, Open_AAPL, Low_AAPL
2.295792728627850920e+03,8.215608895561967790e+07,3.156890501482735872e+08,2.381399542820764736e+02,3.519390970717118705e+01,2.966131277414780243e+01,-2.432467939268639867e+01,2.327228592862553796e+03,2.284862579625328635e+03,3.451942161721726166e+01,2.965517526488493161e+01,3.414988130933246424e+01,2.966131277414780243e+01,2.965517526488493161e+01,9.973623200371656594e+01
2.270656798719008748e+03,5.947199893060071021e+07,2.228196311116261482e+08,2.380986139918019546e+02,3.464169337208775801e+01,2.929202159543963546e+01,-4.224367272269045515e+00,2.293881344014825117e+03,2.260633908153620723e+03,3.440647093222281683e+01,2.915546148930789627e+01,3.387894517692808449e+01,2.929202159543963546e+01,2.915546148930789627e+01,9.973623200371656594e+01
2.260293497958275566e+03,4.150784991395586729e+07,1.853297940564424396e+08,2.380594240476195580e+02,3.512317745569587402e+01,2.915424655716094549e+01,-8.087858725083027167e+00,2.279812052448779014e+03,2.243369067716445443e+03,3.488009809505622627e+01,2.901917744214159711e+01,3.441767960419792161e+01,2.915424655716094549e+01,2.901917744214159711e+01,9.973623200371656594e+01
2.209846564754112933e+03,5.072209287584832311e+07,2.596799125460728109e+08,2.379864348982245019e+02,3.469277410912481940e+01,2.856762878731194633e+01,6.861046157195996642e+00,2.218562055469038114e+03,2.177345826810516883e+03,3.413007189296190802e+01,2.841163698101681234e+01,3.361890935815522852e+01,2.856762878731194633e+01,2.841163698101681234e+01,9.973623200371656594e+01
2.174368506322035500e+03,5.388584684901485592e+07,2.662319446060743332e+08,2.379599521741590991e+02,3.382876560247525788e+01,2.816961707146025162e+01,2.201505988551132020e+01,2.169669311831633422e+03,2.124031674094494065e+03,3.323857239580011225e+01,2.796102567272201611e+01,3.254845667180200053e+01,2.816961707146025162e+01,2.796102567272201611e+01,9.973623200371656594e+01
2.171654965708411964e+03,4.101926459893932194e+07,2.343310034789883792e+08,2.379166248897105902e+02,3.331891490356501606e+01,2.883463007105055453e+01,-1.612593221979182800e+01,2.199839945188318779e+03,2.165402057015789978e+03,3.244040167349678683e+01,2.801554257892235000e+01,3.259299430018750598e+01,2.883463007105055453e+01,2.801554257892235000e+01,9.973623200371656594e+01
2.108968186129524383e+03,4.163804150609656423e+07,1.871777074907997847e+08,2.379245549069573542e+02,3.150711452362501319e+01,2.731390500985234837e+01,-6.208293135835120324e+00,2.124602903422804047e+03,2.101029315201540612e+03,3.149063167238464445e+01,2.704032884664918868e+01,3.121096880900444859e+01,2.731390500985234837e+01,2.704032884664918868e+01,9.973623200371656594e+01
2.219396773356451831e+03,4.383962966308018565e+07,2.154306688135519028e+08,2.379018589525852008e+02,3.197214593383911563e+01,2.824553453663941127e+01,3.285336634962451541e+01,2.217295445746744008e+03,2.181201973774894668e+03,3.203213352185364471e+01,2.811142082608988346e+01,3.139722693884236548e+01,2.824553453663941127e+01,2.811142082608988346e+01,9.973623200371656594e+01
2.203259875524192921e+03,3.917214288426315784e+07,1.781085590346203744e+08,2.379033489938684909e+02,3.266967103921370352e+01,2.881140706530170803e+01,6.233267804489642572e+00,2.206609956114812576e+03,2.185090080690043578e+03,3.266888901212743690e+01,2.855979132790160691e+01,3.234704555017256666e+01,2.881140706530170803e+01,2.855979132790160691e+01,9.973623200371656594e+01
2.218764277413960372e+03,3.325413244178042188e+07,1.856183173082633913e+08,2.378872254570554219e+02,3.351645961017105435e+01,2.927911689002394269e+01,4.780263922907291629e+00,2.223034664022728521e+03,2.198358217514479747e+03,3.350784749909546889e+01,2.922248019173854061e+01,3.314593319422655071e+01,2.927911689002394269e+01,2.922248019173854061e+01,9.973623200371656594e+01
2.162430731976642164e+03,3.970423013382208347e+07,1.943107428943846822e+08,2.378617806969308504e+02,3.306791248513706449e+01,2.889273533436836772e+01,-1.652762114157461326e+00,2.162807241002899900e+03,2.122301260845937122e+03,3.296595054649026935e+01,2.859945506053999509e+01,3.253276003767451385e+01,2.889273533436836772e+01,2.859945506053999509e+01,9.973623200371656594e+01
