# IndexValue_NDXT, Volume_GOOGL,Volume_AAPL,CPI,High_GOOGL,High_AAPL
1.031252369011593692e+04,2.051664075003085658e+07,5.086617105351749808e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.356185788321989776e+02
1.026541860590213400e+04,2.537358050528988987e+07,5.166200750201064348e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.345876119162460895e+02
1.030513117741822862e+04,2.712859456221822277e+07,6.073617364041548222e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.410092841267447170e+02
1.053757997459650869e+04,2.535884145838534459e+07,4.561557646044242382e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.439065765590584931e+02
1.055862888392318200e+04,2.783322797824896127e+07,4.999293091683298349e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.454133660225043059e+02
1.074901365466011157e+04,2.867664398759008944e+07,4.782564692199031264e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.474424608354789541e+02
1.053360176249041979e+04,2.266018576725306362e+07,4.489691158297675848e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.439535175127120681e+02
1.032597641795109666e+04,2.477873223390229791e+07,5.150903426662767678e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.497156832415781480e+02
1.024711930421453872e+04,2.127981596207658947e+07,4.405811356017857790e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.533964234608221204e+02
1.036217138817473096e+04,2.024843875678781047e+07,4.142789619894194603e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.534858885588351995e+02
1.051821342195809666e+04,2.181984381454963982e+07,4.503278229922138900e+07,3.154926164347546660e+02,8.670569072491184670e+01,2.593075206517431752e+02
1.068390531529098189e+04,1.742287529412965104e+07,3.590282300354877114e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.599386980126423055e+02
1.067037966987308027e+04,1.753423829196270555e+07,3.289347856570574641e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.579311514684309827e+02
1.059290056667140743e+04,2.486575505637092143e+07,4.306952250565951318e+07,3.154926164347545523e+02,8.670569072491184670e+01,2.554708706471486721e+02
1.048654622099955668e+04,4.551855758563032001e+07,9.930276359587630630e+07,3.154926164347547228e+02,8.670569072491184670e+01,2.550427248714149187e+02
1.037002071305905702e+04,3.085831471780928597e+07,5.430026999386730790e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.516470219689301189e+02
1.046120199192482687e+04,3.370893783543175459e+07,5.641973719499981403e+07,3.154926164347546091e+02,8.670569072491184670e+01,2.546404168872883247e+02
